comment_id;tweet_id;comment_text
1;1782877166998331434;"Keep this in mind:
Russia is destroying democracy one flag at a time. 
As Q said, U.S. is the first domino ...
#FBI 
#NationalSecurity
#QAnon
#LeakintheKremlin"
2;1733184143885025552;FIFTH NOVEMBER TWENTY TWENTY FOUR DONALD TRUMP IS FORTY SEVENTH USA PRESIDENT= 911 #qanon
3;1783101908938322120;Just a reminder, #PizzaGate was not made up by #Qanon . It came from John Pedesta's emails exposed by Wikileaks.
4;1782596239302721881;"The same strategy they used to ""debunk"" #QAnon is being used to debunk #UFOtwitter right now... They contribute to the noise around a subject until the average person becomes confused and disengages while the real information is drowned out."
5;1782476196107911645;958/-- New Prediction Date for World War 3--- 14 October--King Charles is 911 Months old #qanon
6;1782499781572739564;FOURTEEN OCTOBER TWENTY TWENTY FOUR BEGIN THIRD WORLD WAR = 666 #qanon
7;1781880739644211452;"QFS = CBDC = 666 The mark of BEAST financial system.
Blackout = Tribulation is near
#gematria #qfs #cbdc #psyop #gesara #sixsixsix #markofbeast #q #qanon #bible #christian #tribulation #trump #fakejews #qjews #khazarian"
8;1782796945582612869;"Fact: Brainwashed deep state operatives are manipulating our elections, silencing dissenting voices, and pushing their woke agenda!
#DeepStateLies #ElectionFraud #WakeUpAmerica #DrainTheSwamp #QAnon"
9;1781568827693965722;"Wake up, sheeple!
Biden's just a puppet for the Marxist elite!
#WokeMobLies #JoeBidenPuppet #USANotForSale #QAnon"
10;1781737844349817116;"Most can't see what's right in front of their face. 8 yrs ago, I was one of them. There has been an Awakening. However, The GREAT Awakening is still to come. Homestretch. 
#savethechildren #wakeup #Qanon #Enemyofthepeople #Godwins #Trusttheplan #EpsteinClientList"
11;1780000959520980996;"The upcoming movie will not be for everyone. There will be extremely difficult things to process. It’s going to get very ugly.
#MAGA #TRUMP2024 #WWG1WGA #NCSWICN #QANON #SAVETHECHILDREN #THEGREATAWAKENING"
12;1780467566479126845;"PATRIOTS TAP IN:
We’re doing a nation wide group prayer to help Barron trump resist the urge to ruin his 6 day nofap streak. 
Ignore at your own peril, God and trump will know if you didn’t participate. 
#qanon #nofap #MAGA2024"
13;1783256557297233992;"Anyone stealing from the public government purse needs to be sent to GITMO
#USA #trump2024 #QANON"
14;1782202911503864173;"Liberals want to take away our #SecondAmendmentRights and leave us defenseless against tyranny!
They're coming for your guns, folks!
#FightBack #2A #GunRights #MAGA #QAnon #FJB"
15;1780332562356768852;"It’s time to take over the digital  billboards of the western world.
And show the masses, exactly what is happening by way of Genocide and murder of the children in Gaza.
As the media establishment have become corrupt beyond words.
#2chan 4chan #anon #QAnon"
16;1781083017676505395;"#Qanon laid all this out to us years ago. 
We were called crazy Q-tards for listening to it, but now its starting to look like human trafficking, child trafficking, organ harvesting, and other nefarious things are being done with the help of #NHI/#UFO tech. It's all connected!"
17;1782484986765115597;"23 April-- Passover
St George's day
Jimmy Carter passes over on Passover
Prediction-- 39th US President from Georgia --Jimmy Carter dies on St George's Day #qanon"
18;1781689670503661784;"Biden Crime Family: Another Dynasty of Corruption!
Cover-ups, Scandals, & Lies!
#BidenCorruption #SwampDrain #MAGA #QAnon"
19;1793955520597934228;"#GOD #Bible #WWG1WGA #TheGreatAwkening #QAnon #SaveTheChildren #Trump2020
#RIGGEDELECTION #TrumpAll50 
@realDonaldTrump
..... ....Q……NCSWIC…TRUST THE PLAN…TIK…TOK…TIK ..TOK……GAME OVER…"
20;1793605637848629503;"Morning sun brings heat.
Full moon coming.
Undiscovered stars learned.
Missions forward.
Follow the white rabbit. $Qanon #QAnon"
21;1793570499446124852;#QAnon has recently asserted that Benjamin Netanyahu, Israel’s long-standing political titan, will be the first high-profile arrest recognized by the general public. This event is poised to signal the beginning of the end for the last vestiges of the Globalist resistance. The reverberations of such a seismic shift promise to reshape the geopolitical landscape in ways unimaginable just a few years ago!
22;1788403897754620298;"One of our world’s most renowned telecom specialists and computer scientists, 
@martingeddes
, explains his scientific analysis relating to the Q message boards and his apolitical assessment of the coordinated corporate media “one size fits all” “#QAnon” assassination campaign. 
Our world will soon erupt into dysfunction before the Nov. 2024 U.S. presidential election, and ALL the world will benefit from reflecting & reevaluating their views on who, what and why #Q emerged.
10 Essays OnQ: https://onq.martingeddes.com
Martin’s SubStack: https://newsletter.martingeddes.com
Complete Video: https://rumble.com/v4trh6u-martin-geddes-the-weekend-truth-festival-cumbria-uk.html
#XRPArmy #XRP 
@Ripple
 #War #PsyOp #UCMJ #GroupThink #Intel #Awakening #Revolution #Discernment #Revival #CriticalThinking 
@Prolotario1
 #EO13772 #FollowTheMoney #KUWL"
23;1791132967508627837;"Q DROP 4984
Red Lobster falls.
No more cheddar biscuits.
They've taken too much.
Time to reclaim, Patriots.
Stand firm.
WWG1WGA.
Q
$Qanon -> BUY #QAnon"
24;1792917786236174787;"Lots going on behind the scenes of $Trump2024 on SOL, it may look calm, but we're gearing up for the something big...
(Coded video) 
@QAnonOnSOL
#Trump2024 #NothingCanStopWhatsComing #calmbeforethestorm #QAnon"
25;1792582991677390879;"There is a purpose for every tweet and crumb dropped.
Follow the money.
Future proves past.
The Great Awakening.
NO ESCAPE.
NO DEALS.
TRUST THE PLAN.
HAPPY SUNDAY.
#QAnon"
26;1785058123381608702;"GOD'S CHILDREN ARE NO LONGER FOR SALE…….
DEATH PENALTY FOR  PEDOPHILES AND HUMAN TRAFFICKERS ……
TRUMP 2024 
#MAGA #TRUMP2024 #WWG1WGA #NCSWICN #QANON #SaveTheChildrenWorldWide"
27;1794952977985446366;"Do you get paid to shill for vaccines?
Or are you a useful idiot ?
#VaccinesCauseTics
#VaccinesCauseAutism
#Qanon "
28;1794916181436141588;"#Qanon See, i dont think studies are even capable of finding vaccine problems.
Thats why its never been done before.
Studies are done for the sole purpose of NOT finding the evidence. 
@lasikeyecenter1"
29;1790561739181814195;"The next president of the United States of America
Join our movement on the Solana Blockchain 
#1stTrumponSol
CA: 
AwRErBEFGTnohzfLeRSBH9HddQEy2oeRxnWLrbvFFh95
Website: http://Trumpsol.xyz
$TRUMP #MAGA #Donaldtrump #Republican #Conservative #America #USA #Freedom #Qanon"
30;1792228285360869479;WE KNOW THE CIA COINED THE TERM “CONSPIRACY THEORIST” BUT WHO COINED THE TERM #QANON? SAME? 
